                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.00191,                0.97357,                      1,                0.35949,              0.0093459,              0.0093459,              0.0093459
                     68,                0.00097,                0.97797,                      1,                0.33988,               0.009336,               0.009336,               0.009336
                     69,                0.00183,                0.97797,                      1,                0.34019,              0.0093261,              0.0093261,              0.0093261
                     70,                0.00318,                0.96256,                      1,                0.34691,              0.0093162,              0.0093162,              0.0093162
                     71,                0.00242,                0.94273,                      1,                0.38617,              0.0093063,              0.0093063,              0.0093063
                     72,                0.00379,                0.95374,                      1,                0.35215,              0.0092964,              0.0092964,              0.0092964
                     73,                 0.0023,                0.97137,                      1,                0.34064,              0.0092865,              0.0092865,              0.0092865
                     74,                0.00112,                0.96696,                      1,                0.34002,              0.0092766,              0.0092766,              0.0092766
                     75,                0.00267,                0.96696,                      1,                0.34333,              0.0092667,              0.0092667,              0.0092667
                     76,                0.00165,                0.95815,                      1,                0.34937,              0.0092568,              0.0092568,              0.0092568
                     77,                0.00408,                0.97137,                      1,                0.34087,              0.0092468,              0.0092468,              0.0092468
                     78,                0.00051,                0.96916,                      1,                0.34349,              0.0092369,              0.0092369,              0.0092369
                     79,                 0.0009,                0.97137,                      1,                0.34772,               0.009227,               0.009227,               0.009227
                     80,                0.00069,                0.97357,                      1,                0.33963,              0.0092171,              0.0092171,              0.0092171
                     81,                0.00122,                0.97357,                      1,                0.34134,              0.0092072,              0.0092072,              0.0092072
                     82,                0.00088,                0.96476,                      1,                0.34357,              0.0091973,              0.0091973,              0.0091973
                     83,                0.00079,                0.96476,                      1,                 0.3429,              0.0091874,              0.0091874,              0.0091874
                     84,                 0.0007,                0.97797,                      1,                0.33252,              0.0091775,              0.0091775,              0.0091775
                     85,                 0.0008,                0.97797,                      1,                0.33454,              0.0091676,              0.0091676,              0.0091676
                     86,                0.00017,                0.97357,                      1,                0.33348,              0.0091577,              0.0091577,              0.0091577
                     87,                 0.0011,                0.97797,                      1,                0.33335,              0.0091477,              0.0091477,              0.0091477
                     88,                0.00476,                0.97137,                      1,                0.33711,              0.0091378,              0.0091378,              0.0091378
                     89,                0.00126,                0.97577,                      1,                0.33338,              0.0091279,              0.0091279,              0.0091279
                     90,                  0.002,                0.97577,                      1,                0.33743,               0.009118,               0.009118,               0.009118
                     91,                0.00391,                0.97357,                      1,                0.34009,              0.0091081,              0.0091081,              0.0091081
                     92,                0.00699,                0.98238,                      1,                0.33063,              0.0090982,              0.0090982,              0.0090982
                     93,                0.00256,                0.98018,                      1,                0.33381,              0.0090883,              0.0090883,              0.0090883
                     94,                 0.0013,                0.97357,                      1,                0.33911,              0.0090784,              0.0090784,              0.0090784
                     95,                0.00169,                0.96256,                      1,                 0.3467,              0.0090685,              0.0090685,              0.0090685
                     96,                0.00047,                0.96256,                      1,                0.34701,              0.0090586,              0.0090586,              0.0090586
                     97,                0.00183,                0.96476,                      1,                0.34487,              0.0090486,              0.0090486,              0.0090486
                     98,                0.00055,                0.96476,                      1,                0.35283,              0.0090387,              0.0090387,              0.0090387
                     99,                0.00775,                0.96476,                      1,                0.35145,              0.0090288,              0.0090288,              0.0090288
                    100,                 0.0095,                0.98458,                      1,                0.32975,              0.0090189,              0.0090189,              0.0090189
